YEAR,Team,DATE,LOCATION,OPPONENT,RESULT,TEAMSCORE,OPPSCORE,RECORD,WAB,ADJO,ADJD,OPPP,OEFG%,OTO%,OOR%,OFTR,DPPP,DEFG%,DTO%,DOR%,DFTR
2019,Arizona St.,Mon 11-12,H,Long Beach St.,W,90,58,3-0,0.1,103.1,77,109.4,48.5,21.9,43.9,55.4,70.5,34.7,19.5,13.5,38.7
2019,Arizona St.,Mon 11-19,N,Mississippi St.,W,72,67,4-0,0.8,113.7,86.2,105.6,50.9,17.6,37.5,31,98.3,42,14.7,33.3,14.5
2019,Arizona St.,Wed 11-21,N,Utah St.,W,87,82,5-0,1.3,113.1,94.5,107,56.7,19.7,22.6,80.8,100.8,50.9,24.6,31.3,58.9
2019,Arizona St.,Wed 11-28,H,Nebraska Omaha,W,89,71,6-0,1.4,111.2,93.9,120.4,57.8,17.6,41.2,34.4,96.1,56.6,24.4,20.6,8.2
2019,Arizona St.,Sat 12-01,H,Texas Southern,W,83,71,7-0,1.4,105.7,98,112.7,62.5,25.8,35.3,44.6,96.4,43.3,9.5,25,32.8
2019,Arizona St.,Fri 12-07,N,Nevada,L,66,72,7-1,1,101,87,90.1,44.4,23.2,33.3,27.4,98.3,48.2,15,15.6,43.6
2019,Arizona St.,Sat 12-15,A,Georgia,W,76,74,8-1,1.4,104.7,99.7,102.7,43.8,16.2,35.7,42.2,100,51.1,25.7,23.3,68.1
2019,Arizona St.,Mon 12-17,A,Vanderbilt,L,65,81,8-2,0.7,99.9,110.1,90.7,37.7,14,28.9,30.8,113.1,54.5,14,19.4,52.7
2019,Arizona St.,Sat 12-22,H,Kansas,W,80,76,9-2,1.2,111.6,95.5,104.7,47.6,14.4,32.6,50.8,99.5,46.9,20.9,28.9,24.6
2019,Arizona St.,Sat 12-29,H,Princeton,L,66,67,9-3,0.3,98.5,104.7,95.9,33.9,10.2,31.9,51.6,97.3,43.9,16,25,38.6
2019,Arizona St.,Thu 1-03,H,Utah,L,86,96,9-4,-0.5,111.1,111.5,112.6,54.6,11.8,24.4,38.5,125.7,64.9,18.3,22.6,47.4
2019,Arizona St.,Sat 1-05,H,Colorado,W,83,61,10-4,-0.2,127.3,86.1,119,63.4,22.9,44.8,33.9,87.5,37.1,21.5,29.3,37.9
2019,Arizona St.,Wed 1-09,A,California,W,80,66,11-4,0,107.3,99.1,114.8,54.2,12.9,24.2,39,94.7,46.2,18.7,23.5,46.2
2019,Arizona St.,Sat 1-12,A,Stanford,L,71,85,11-5,-0.7,104.3,112.7,95.2,47.8,25.5,41.3,25,114,60.8,18.8,29.4,31.7
2019,Arizona St.,Thu 1-17,H,Oregon St.,W,70,67,12-5,-0.5,106.2,91.7,104.5,52.6,16.4,31.6,38.6,100,48.2,14.9,21.6,35.7
2019,Arizona St.,Sat 1-19,H,Oregon,W,78,64,13-5,-0.1,124.7,98,117.2,62.2,22.5,25.9,42.9,96.1,41.3,22.5,42.9,20.6
2019,Arizona St.,Thu 1-24,A,UCLA,W,84,73,14-5,0.4,104.6,88.8,105,50,21.3,34.9,30.4,91.3,47.7,18.8,26.7,31.8
2019,Arizona St.,Sat 1-26,A,USC,L,67,69,14-6,-0.1,94.3,87,90.3,36.3,20.2,31.8,40.3,93,48.3,13.5,12.5,30
2019,Arizona St.,Thu 1-31,H,Arizona,W,95,88,15-6,0.1,134.3,122.5,129.7,63.9,17.8,34.5,64.8,120.2,50.7,12.3,36.4,40.3
2019,Arizona St.,Thu 2-07,H,Washington St.,L,70,91,15-7,-0.8,77.2,105.4,81.7,37.5,19.8,27.8,48.5,106.2,53.3,22.2,25.7,55
2019,Arizona St.,Sat 2-09,H,Washington,W,75,63,16-7,-0.5,110.9,83.8,101,68.1,32.3,31.8,40.4,84.8,45.6,22.9,19.5,35.1
2019,Arizona St.,Wed 2-13,A,Colorado,L,73,77,16-8,-1,117.9,106.6,106.2,50.8,16,28.2,37.3,112.1,53.5,17.5,33.3,36.8
